N,S_wide,S_narrow,M_wide,M_narrow,abs_err_wide,abs_err_narrow,rel_err_wide,rel_err_narrow
34100,0.9551071979251786,0.7850733137829912,3350,26771,0.010590012025714968,0.15944387211647248,0.011212090350299027,0.1688099216158085
34600,0.9699657027935996,0.7848265895953758,3452,27155,0.025448516894135964,0.15969059630408788,0.02694341328464166,0.1690711388718825
35100,0.940360443510643,0.785982905982906,3395,27588,0.004156742388820689,0.15853427991655766,0.00440091768670384,0.16784689816478615
35600,0.9536432234510823,0.7850280898876405,3492,27947,0.009126037551618671,0.15948909601182315,0.009662119110016984,0.16885780205252876
36100,0.9425893585179648,0.7888365650969529,3500,28477,0.0019278273814988811,0.15568062080251077,0.002041071788082936,0.1648256094506699
36600,0.9711510669802859,0.7891530054644809,3656,28883,0.026633881080822208,0.1553641804349828,0.02819840811626817,0.16449058074790826
37100,0.9281888289112805,0.7856603773584906,3542,29148,0.016328356988183135,0.15885680854097306,0.0172875170848624,0.16818837276072826
37600,0.9528210370790812,0.7895212765957447,3685,29686,0.008303851179617516,0.15499590930371898,0.008791635878715917,0.16410067663947944
38100,0.9408271723381483,0.7833595800524934,3687,29846,0.003690013561315375,0.16115760584697025,0.003906772281545492,0.17062432346691486
38600,0.9437524202949075,0.7852590673575129,3747,30311,0.0007647656045561835,0.1592581185419507,0.0008096894540123135,0.16861325650765074
39100,0.9473487976610843,0.7824808184143223,3810,30595,0.0028316117616206116,0.16203636748514139,0.0029979462564506624,0.17155470530780673
39600,0.9562555440586707,0.7882070707070707,3895,31213,0.011738358159207096,0.1563101151923929,0.012427892614816383,0.16549208159038292
40100,0.9193600883131773,0.7869077306733168,3792,31555,0.02515709758628637,0.1576094552261469,0.026634875428263666,0.1668677474365439
40600,0.944196602723235,0.7833743842364532,3943,31805,0.0003205831762286282,0.16114280166301043,0.00033941486826768205,0.1706086496558071
41100,0.9499780534130975,0.7857664233576642,4016,32295,0.005460867513633838,0.15875076254179943,0.005781649709669871,0.1680760974090917
41600,0.9303803662705127,0.7843509615384615,3981,32629,0.01413681962895097,0.16016622436100214,0.014967244471564037,0.16957470626484775
42100,0.9285679020202687,0.7868646080760096,4021,33127,0.01594928387919492,0.1576525778234541,0.01688617646909878,0.16691340314080316
42600,0.950304556728128,0.7872065727699531,4164,33535,0.005787370828664318,0.15731061312951056,0.0061273324774424355,0.1665513507620337
43100,0.9541678675092394,0.7844083526682134,4230,33808,0.00965068160977578,0.16010883323125025,0.010217581801421047,0.16951394386622898
43600,0.9637401742547749,0.7871100917431193,4322,34318,0.01922298835531122,0.15740709415634435,0.02035218484352423,0.1666534992758714
44100,0.9336336909166263,0.7862131519274377,4235,34672,0.01088349498283736,0.15830403397202597,0.011522813078803864,0.16760312711649927
44600,0.9543388163898691,0.7881614349775785,4378,35152,0.009821630490405409,0.15635575092188514,0.01039857255858428,0.1655403980531996
45100,0.9588483531671426,0.7899778270509977,4448,35628,0.014331167267678913,0.15453935884846592,0.015173008476316228,0.16361730750436065
